"What are most HPC machines";"Collection of many smaller machines"
"Moore's Law";"For a given chip size, the number of components would double every year.

Revised to doubling every 2 years."
"Amdahl's Law";"$S = 1/((1-p) + p/n)$

Shows the relation between serial portions and parallel portions in a program."
"What are the 4 main 'stream' paradigms? and explain them.";"- SISD
  - To improve these processor need to: increase clock speed, decrease transistor size, or increase complexity
  - Very Expensive
- SIMD
  - One instruction is applied to multiple pieces fo data in the same clock cycle
  - Common implementations are SSE or AVX
  - Also seen in GPU computing
- MISD
  - One piece of data is operated upon by multiple instructions within the same clock cycle.
  - Not often used in HPC
- MIMD
  - Multiple instructions can be applied to multiple pieces of data in the same clock cycle.
  - Commonly used in HPC"
"What are the 4 levels of parallelism?";"1. Instruction
  - Pipelining
  - Vectorisation
2. Thread
  - OpenMP
3. Process
  - MPI
4. Job
  - Independent codes
  - Queue-based clusters"
"What are the main ways we can make a super computer faster?";"Improve computer Architecture

Improve interconnects between compute nodes

Improve compiler optimisations

Improve the algorithm used

Allow for multiple jobs and resources to be used at the same time"
"How can computer architecture change to improve performance?";"Increase clock speed

Smaller/more transistors

More cores

Multiple processors.

Faster interconnect between cores, cache, and main memory.

Use of GPUs"
"Common interconnect types in HPC";"100 Gigabit Ethernet
- New
- Fibre optics

Infiniband
- 80GB/s
- Older and more common
- Fibre optics"
"Common Networking paradigms";"#image('network-topologies.png')"
"There is useful information on compilers?";"I promise"
"How can algorithms be designed to exploit HPC compute?";"Ensure loops have no dependencies

Design so loops can be run simultaneously

Sometimes it may not be possible."
"What are the 3 main loop dependencies?";"- Flow dependency
  - a=x+y b=a+c
- Anti-dependency
  - b=a+c a=x+y
- Output dependency
  - a=2 x=a+1 a=5"
"Explain what control dependencies are?";"Conditional branching statements"
"Discuss 2 options for workload management in HPC";"SLURM
- very common
- Open source
- allocate jobs to queue and when resources are free it runs
- can define limits and priority to queues

Portable Batch System (PBS)
- proprietary
- OpenPBS is an opensource version
- Has more control over how the queue is managed
- More difficult for newer users"
"What is a thread?";"An execution context for a processor

Not a physical thing!!!

Limited to a particular NUMA region"
"Explain a way to fix control dependencies";"Remove branches and instead create a mask that can be applied to select the correct side of the condition."
"Give 3 ways in which you can assist the compiler in optimising code";"Add flags to the code

Use libraries such as OpenMP

Use specific compiler flags such as -O3"
"Explain synchronisation with respect to threads and global variables";"When threads need to access global variables they need to make sure the data isn't altered and all other threads have the same data.

Utilise Mutex locks to stop threads from accessing the data."
"Give 3 main problems with respect to synchronisation in multithreaded applications";"Race Conditions

Deadlocks

Starvation"
"What is the difference between Multithreading and Multiprocessing?";"Process records running state, a thread is just concerned with the memory stack

Threads exist within a process

Threads switch faster than processes

Threads can hold all the time, starve other threads."
"What is superthreading?";"Each clock cycle contains only one threads instructions

Switch between threads each cycle"
"What is hyperthreading?";"Each clock cycle can contain multiple threads instructions.

Often found in modern processors."
"What is OpenMP? And what thread model does it utilise";"A pragma based multithreading library available in C, C++ and Fortran.

Uses the fork-join model."
"Give the basics on how to parellelise a for loop with OpenMP";"\#pragma omp parallel for"
"What are private variables? And what are the 3 ways of defining them in OpenMP";"variables that are local to that thread

- private: not given an initial value
- firstprivate: initial variable is set to the value of the variable
- lastprivate: variables value is set to the value in the primary thread."
"What are schedules and what are the 3 main types used?";"Schedules specify how the work is split between threads

- static: workload split evenly between threads before compute
- dynamic: workload is split into equally sized chunks, threads request chunks when required
- guided: same as dynamic, but successive chunks get smaller"
"How can you synchronise OpenMP programs";"\#pragma omp critical
- Higher overhead, can block multi-line statements
\#pragma omp atomic
- Lower overhead"
"What is a reduction?";"Allows for some simple function to be applied across multiple threads in parallel, e.g. sum, max, etc.

\#pragma omp parallel for reduction(+:sharedvariable)"
